Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted
2011-03-30,5755.8,5803.15,5753.9,5787.65,133208726,6161.99,5768.006
2011-03-31,5803.05,5872.0,5778.65,5833.75,219441114,11741.25,5801.6113
2011-04-01,5835.0,5860.2,5810.4,5826.05,118321855,5698.58,5868.0166
2011-04-04,5842.0,5918.7,5833.2,5908.45,106392427,5424.67,5861.495
2011-04-05,5923.85,5928.65,5855.85,5910.05,110625437,5386.96,5915.419
2011-04-06,5908.0,5944.45,5868.8,5891.75,125960708,6114.96,5929.338
2011-04-07,5888.55,5906.1,5866.25,5885.7,98160761,5029.08,5944.5337
2011-04-08,5886.75,5926.95,5822.0,5842.0,99854772,5071.12,5908.6543
2011-04-11,5805.35,5830.3,5777.9,5785.7,92734132,4636.4,5925.73
2011-04-13,5747.95,5923.6,5735.55,5911.5,145699909,6888.51,5835.9634
2011-04-15,5898.75,5907.35,5806.45,5824.55,140590405,9198.8,5918.1626
2011-04-18,5824.35,5897.9,5722.25,5729.1,121111083,7626.14,5910.8335
2011-04-19,5716.0,5762.95,5693.25,5740.75,101237488,5510.81,5899.49
2011-04-20,5786.05,5857.35,5759.65,5851.65,117896054,6097.39,5770.0796
2011-04-21,5882.85,5912.9,5864.35,5884.7,119753918,7240.13,5850.1514
2011-04-25,5859.6,5906.6,5857.0,5874.5,94377009,5323.17,5912.839
2011-04-26,5876.85,5893.2,5791.55,5868.4,117166769,6155.73,5910.2847
2011-04-27,5884.2,5892.35,5819.95,5833.9,108740523,5893.38,5895.168
2011-04-28,5851.35,5856.4,5776.95,5785.45,159344933,8773.7,5892.9424
2011-04-29,5782.5,5804.3,5706.05,5749.5,184751755,7259.0,5859.4146
2011-05-02,5766.9,5775.25,5687.7,5701.3,86514383,4614.18,5808.434
2011-05-03,5689.7,5710.8,5554.85,5565.25,125522829,7457.0,5778.787
2011-05-04,5567.7,5578.8,5503.0,5537.15,119083244,6150.25,5717.8926
2011-05-05,5531.6,5560.3,5443.65,5459.85,126424541,5953.85,5590.8506
2011-05-06,5477.65,5564.4,5472.45,5551.45,122684321,5969.39,5564.7495
2011-05-09,5575.2,5586.05,5502.4,5551.1,75438946,3387.89,5570.0547
2011-05-10,5555.55,5592.9,5514.55,5541.25,88822800,3931.01,5592.11
2011-05-11,5547.2,5574.7,5525.0,5565.05,82509136,4309.88,5600.12
2011-05-12,5537.8,5572.5,5476.3,5486.15,91624740,4342.75,5582.6035
2011-05-13,5492.35,5605.0,5472.15,5544.75,119423852,5690.93,5578.078
2011-05-16,5541.7,5541.8,5487.65,5499.0,94219161,4343.66,5608.224
2011-05-17,5496.1,5523.85,5421.05,5438.95,109199263,6356.9,5552.616
2011-05-18,5448.2,5460.5,5401.25,5420.6,107357672,6250.15,5530.243
2011-05-19,5448.15,5452.6,5411.25,5428.1,94180687,5509.73,5471.0796
2011-05-20,5450.65,5517.55,5432.75,5486.35,127399855,5791.89,5459.2124
2011-05-23,5456.7,5456.7,5373.0,5386.55,94674110,5037.85,5520.03
2011-05-24,5385.1,5422.6,5367.45,5394.85,100052471,4819.47,5470.441
2011-05-25,5389.1,5389.1,5328.7,5348.95,99917758,5133.01,5432.0483
2011-05-26,5372.75,5422.2,5356.35,5412.35,161608076,7601.74,5397.7607
2011-05-27,5413.7,5485.8,5413.6,5476.1,117233303,5553.69,5425.5884
2011-05-30,5493.75,5509.3,5458.6,5473.1,100764849,4451.38,5488.1167
2011-05-31,5492.0,5571.6,5489.7,5560.15,149409715,6946.23,5515.348
2011-06-01,5561.05,5597.35,5559.45,5592.0,98629277,4670.86,5573.343
2011-06-02,5529.9,5568.2,5521.95,5550.35,110949186,4709.42,5601.2114
2011-06-03,5565.7,5604.95,5507.2,5516.75,101017578,4757.1,5574.6084
2011-06-06,5504.3,5542.65,5479.85,5532.05,77137320,3486.68,5605.082
2011-06-07,5509.15,5570.1,5507.8,5556.15,81858402,3830.7,5550.73
2011-06-08,5535.25,5556.6,5514.9,5526.85,92928675,3869.33,5570.69
2011-06-09,5523.55,5540.1,5502.05,5521.05,87033655,3859.17,5561.51
2011-06-10,5518.05,5521.45,5457.45,5485.8,84190282,3995.15,5545.065
2011-06-13,5469.85,5496.7,5436.95,5482.8,80104906,3807.22,5526.0913
2011-06-14,5485.6,5520.15,5484.2,5500.5,97840485,4714.26,5501.4546
2011-06-15,5494.45,5499.35,5438.95,5447.5,95878889,4562.47,5521.0005
2011-06-16,5419.65,5447.5,5389.8,5396.75,128063494,5341.03,5504.106
2011-06-17,5412.5,5421.15,5355.85,5366.4,97876272,4480.59,5453.802
2011-06-20,5372.2,5377.4,5195.9,5257.9,135334880,5956.17,5424.4883
2011-06-21,5280.8,5322.45,5257.0,5275.85,107191673,4765.02,5382.573
2011-06-22,5304.65,5310.5,5262.5,5278.3,95769497,4151.39,5328.937
2011-06-23,5269.1,5330.6,5252.25,5320.0,89001344,3756.75,5313.542
2011-06-24,5343.4,5477.85,5343.4,5471.25,140100077,6791.8,5331.88
2011-06-27,5441.2,5552.65,5434.25,5526.6,143402407,6707.54,5469.6934
2011-06-28,5548.85,5558.3,5496.35,5545.3,114413706,5127.85,5552.878
2011-06-29,5566.5,5608.65,5566.5,5600.45,124593981,5463.96,5561.9985
2011-06-30,5614.5,5657.9,5606.1,5647.4,179224275,8133.27,5606.0283
2011-07-01,5705.75,5705.8,5609.75,5627.2,141092473,5590.28,5655.3965
2011-07-04,5679.55,5679.65,5633.1,5650.5,103528865,4266.62,5704.075
2011-07-05,5659.85,5659.85,5612.3,5632.1,100776400,4938.19,5683.0205
2011-07-06,5622.7,5655.4,5610.75,5625.45,86109914,4239.98,5661.6455
2011-07-07,5633.35,5737.15,5632.95,5728.95,112220298,5439.55,5656.419
2011-07-08,5734.65,5740.4,5651.05,5660.65,129276449,5659.53,5733.796
2011-07-11,5648.05,5652.9,5601.7,5616.1,78899703,3579.63,5743.9907
2011-07-12,5556.9,5580.25,5496.95,5526.15,104907108,5294.13,5660.454
2011-07-13,5542.05,5596.15,5541.4,5585.45,106019573,4702.05,5584.3174
2011-07-14,5569.0,5653.95,5541.7,5599.8,123015471,5390.44,5594.281
2011-07-15,5602.95,5631.7,5562.75,5581.1,80426784,3668.42,5651.8105
