Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted High
30-03-2011,5755.8,5803.15,5753.9,5787.65,133208726,6161.99,5821.7495
31-03-2011,5803.05,5872,5778.65,5833.75,219441114,11741.25,5856.2666
01-04-2011,5835,5860.2,5810.4,5826.05,118321855,5698.58,5913.8667
04-04-2011,5842,5918.7,5833.2,5908.45,106392427,5424.67,5915.5586
05-04-2011,5923.85,5928.65,5855.85,5910.05,110625437,5386.96,5956.539
06-04-2011,5908,5944.45,5868.8,5891.75,125960708,6114.96,5973.7085
07-04-2011,5888.55,5906.1,5866.25,5885.7,98160761,5029.08,5986.991
08-04-2011,5886.75,5926.95,5822,5842,99854772,5071.12,5957.25
11-04-2011,5805.35,5830.3,5777.9,5785.7,92734132,4636.4,5963.6196
13-04-2011,5747.95,5923.6,5735.55,5911.5,145699909,6888.51,5889.467
15-04-2011,5898.75,5907.35,5806.45,5824.55,140590405,9198.8,5943.0244
18-04-2011,5824.35,5897.9,5722.25,5729.1,121111083,7626.14,5950.5044
19-04-2011,5716,5762.95,5693.25,5740.75,101237488,5510.81,5942.602
20-04-2011,5786.05,5857.35,5759.65,5851.65,117896054,6097.39,5831.953
21-04-2011,5882.85,5912.9,5864.35,5884.7,119753918,7240.13,5876.3013
25-04-2011,5859.6,5906.6,5857,5874.5,94377009,5323.17,5941.7324
26-04-2011,5876.85,5893.2,5791.55,5868.4,117166769,6155.73,5954.256
27-04-2011,5884.2,5892.35,5819.95,5833.9,108740523,5893.38,5942.711
28-04-2011,5851.35,5856.4,5776.95,5785.45,159344933,8773.7,5936.949
29-04-2011,5782.5,5804.3,5706.05,5749.5,184751755,7259,5906.8735
02-05-2011,5766.9,5775.25,5687.7,5701.3,86514383,4614.18,5857.448
03-05-2011,5689.7,5710.8,5554.85,5565.25,125522829,7457,5822.9854
04-05-2011,5567.7,5578.8,5503,5537.15,119083244,6150.25,5766.6772
05-05-2011,5531.6,5560.3,5443.65,5459.85,126424541,5953.85,5650.4985
06-05-2011,5477.65,5564.4,5472.45,5551.45,122684321,5969.39,5607.9155
09-05-2011,5575.2,5586.05,5502.4,5551.1,75438946,3387.89,5609.4087
10-05-2011,5555.55,5592.9,5514.55,5541.25,88822800,3931.01,5633.6216
11-05-2011,5547.2,5574.7,5525,5565.05,82509136,4309.88,5648.8306
12-05-2011,5537.8,5572.5,5476.3,5486.15,91624740,4342.75,5638.5825
13-05-2011,5492.35,5605,5472.15,5544.75,119423852,5690.93,5632.938
16-05-2011,5541.7,5541.8,5487.65,5499,94219161,4343.66,5657.5376
